дата;операции;сумма;вал;категори€;описание;;;сумма после операции;;;плановые периодические расходы;;;;;
17.11.2015;кошелек;-400;;обед;;;;5350;;;траты;суммы;периодичность;; ;сумма
18.11.2015;ёни редит виза;-253;;обед;;;;33458,34;;;автокред;-15959;ежемес€чно до 17;;12;-191508
18.11.2015;ёни редит виза;-1030;;кафе;;;;32428,34;;;продукты;-1500;еженедельно;;52;-78000
18.11.2015;кошелек;-100;;кафе;;;;5250;;;топливо;-2000;раз в 2 нед;;24;-48000
19.11.2015;кошелек;-100;;завтрак;;;;5150;;;“ќ;-15000;раз в пол года;;2;-30000
19.11.2015;ёни редит виза;-260;;обед;;;;32168,34;;;осаго;-5000;раз в год;;1;-5000
20.11.2015;ёни редит виза;30000;;зарплата;;;;62168,34;;;каско;-35000;раз в год;;1;-35000
20.11.2015;ёни редит виза;-10000;;перевод;;;;52168,34;;;квартплата;-4300;раз в 2мес;;6;-25800
20.11.2015;кошелек;10000;;перевод;;;;15150;;;фитнес;-22000;раз вгод;;1;-22000
20.11.2015;кошелек;-1500;;перевод;;;;13650;;;одежда/обувь;-5000;раз вквартал;;4;-20000
20.11.2015;карта сбер;1500;;перевод;;;;5520;;;моб.св€зь;-500;мес€ц;;12;-6000
20.11.2015;кошелек;-400;;обед;;;;13250;;;онлайм;-300;мес€ц;;12;-3600
20.11.2015;карта сбер;-195;;книга;;;;5325;;;мойка авто;-350;раз 2 нед;;24;-8400
20.11.2015;карта сбер;-5000;;—оне;;;;325;;;шинмонтаж;-1500;;;2;-3000
21.11.2015;ёни редит виза;-345;;кафе;мак;;;51823,34;;;сол€рий;-100;;;24;-2400
21.11.2015;ёни редит виза;-2069;;спорт;кимоно;;;49754,34;;;виза ћƒћ обсл;-60;;;12;-720
21.11.2015;ёни редит виза;-801;;;хоз.расходы;;;48953,34;;;аренда;-40000;;;12;-480000
21.11.2015;ёни редит виза;-1739,27;;бензин;;;;47214,07;;;;;;;в год;-959428
22.11.2015;ёни редит виза;279;;спорт;;;;47493,07;;;;;;;в мес€ц;-79952,33333
22.11.2015;ёни редит виза;-329;;спорт;;;;47164,07;;;;;;;;
22.11.2015;ёни редит виза;-2436,5;;продукты;;;;44727,57;;;;;;;;
24.11.2015;ёни редит виза;-298;;продукты;;;;44429,57;;;;;;;;
24.11.2015;карта сбер;150;;перевод;;;;475;;;;;;;;
24.11.2015;кошелек;-150;;перевод;;;;13100;;;;;;;;
23.11.2015;кошелек;-300;;обед;;;;12800;;;;;;;;
23.11.2015;кошелек;-1000;;кран;;;;11800;;;;;;;;
24.11.2015;кошелек;-300;;обед;;;;11500;;;;;;;;
25.11.2015;кошелек;-350;;обед;;;;11150;;;;;;;;
25.11.2015;кошелек;-200;;продукты;печеньки;;;10950;;;;;;;;
26.11.2015;кошелек;-350;;обед;;;;10600;;;;;;;;
26.11.2015;карта сбер;-349;;книга;;;;126;;;;;;;;
27.11.2015;кошелек;-300;;обед;;;;10300;;;;;;;;
26.11.2015;ёни редит виза;-3299;;одежда;трусы;;;41130,57;;;;;;;;
27.11.2015;кошелек;-400;;обед;;;;9900;;;;;;;;
28.11.2015;кошелек;-4600;;одежда;джинсы;;;5300;?;;;;;;;
28.11.2015;ёни редит виза;-545;;еда;;;;40585,57;;;;;;;;
28.11.2015;ёни редит виза;-1036,35;;продукты;;;;39549,22;;;;;;;;
29.11.2015;ёни редит виза;-729,4;;продукты;;;;38819,82;;;;;;;;
30.11.2015;ёни редит виза;-500;;тел;;;;38319,82;;;;;;;;
03.12.2015;ёни редит виза;-260;;обед;;;;38059,82;;;;;;;;
04.12.2015;ёни редит виза;-209;;книга;;;;37850,82;;;;;;;;
04.12.2015;ёни редит виза;-1517;;продукты;;;;36333,82;;;;;;;;
05.12.2015;кошелек;-150;;печеньки;;;;5150;;;;;;;;
05.12.2015;кошелек;-1150;;обед;3раза;;;4000;;;;;;;;
06.12.2015;кошелек;-200;;продукты;круассаны;;;3800;;;;;;;;
07.12.2015;кошелек;-3000;;спорт;;;;800;;;;;;;;
07.12.2015;кошелек;-650;;обед;;;;150;;;;;;;;
08.12.1015;ёни редит виза;80135,74;;зп;;;;116469,56;;;;;;;;
08.12.2015;ёни редит виза;-2141;;вещи;ике€;;;114328,56;;;;;;;;
09.12.2015;ёни редит виза;-1234;;продукты;ике€;;;113094,56;;;;;;;;
09.12.2015;ёни редит виза;-80000;;;;;;33094,56;;;;;;;;
09.12.2015;кошелек;80000;;;;;;80150;;;;;;;;
10.12.2015;кошелек;5000;;принтер;;;;85150;;;;;;;;
11.12.2015;кошелек;-1400;;;рздной 60;;;83750;;;;;;;;
11.12.2015;кошелек;-700;;;фен;;;83050;;;;;;;;
11.12.2015;ёни редит виза;-260;;обед;;;;32834,56;;;;;;;;
10.12.2015;ёни редит виза;-400;;тел.лера;;;;32434,56;;;;;;;;
10.12.2015;ёни редит виза;-836;;вещи;;;;31598,56;;;;;;;;
10.12.2015;ёни редит виза;-5497;;вещи;;;;26101,56;;;;;;;;
10.12.2015;ёни редит виза;-1020;;кафе;;;;25081,56;;;;;;;;
10.12.2015;ёни редит виза;-545;;кафе;старбакс;;;24536,56;;;;;;;;
10.12.2015;ёни редит виза;-354;;прод;;;;24182,56;;;;;;;;
12.12.2015;ёни редит виза;-90;;авто;парковка;;;24092,56;;;;;;;;
12.12.2015;ёни редит виза;-760;;еда;старбакс;;;23332,56;;;;;;;;
13.12.2015;ёни редит виза;-620;;инет;сокол;;;22712,56;;;;;;;;
13.12.2015;ёни редит виза;-5091,5;;еда;тануки ƒ–;;;17621,06;;;;;;;;
14.12.2015;ёни редит виза;-260;;обед;;;;17361,06;;;;;;;;
14.12.2015;ёни редит виза;-2030,5;;продукты;;;;15330,56;;;;;;;;
15.12.2015;ёни редит виза;-260;;обед;;;;15070,56;;;;;;;;
16.12.2015;ёни редит виза;-260;;обед;;;;14810,56;;;;;;;;
16.12.2015;ёни редит виза;-1358,39;;продукты;;;;13452,17;;;;;;;;
16.12.2015;ёни редит виза;-1097;;одежда;футболки;;;12355,17;;;;;;;;
16.12.2015;ёни редит виза;-133;;корр;;;;12222,17;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;зимних при такой езде хватит максимум на сезон;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;лопата,поливайка, триммер, удлиннитель;;0;;;;;;;;
;;;;;;мак;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;2960;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;ок;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;???;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
;;;;;;;;0;;;;;;;;
